,precision,recall,f1-score,support
related,0.796875,0.9846534653465346,0.8808680248007086,2020.0
request,0.8901098901098901,0.3698630136986301,0.5225806451612903,438.0
offer,0.0,0.0,0.0,26.0
aid_related,0.8007334963325183,0.6208530805687204,0.6994127068873465,1055.0
medical_help,1.0,0.023809523809523808,0.046511627906976744,210.0
medical_products,0.6666666666666666,0.016260162601626018,0.03174603174603175,123.0
search_and_rescue,1.0,0.037037037037037035,0.07142857142857142,81.0
security,1.0,0.06578947368421052,0.12345679012345677,76.0
military,0.75,0.06521739130434782,0.12,92.0
child_alone,0.0,0.0,0.0,0.0
water,1.0,0.710801393728223,0.8309572301425663,287.0
food,0.9588477366255144,0.6893491124260355,0.8020654044750429,338.0
shelter,0.9787234042553191,0.20353982300884957,0.336996336996337,226.0
clothing,0.6,0.07317073170731707,0.13043478260869565,41.0
money,1.0,0.10144927536231885,0.1842105263157895,69.0
missing_people,0.0,0.0,0.0,29.0
refugees,1.0,0.02631578947368421,0.05128205128205127,76.0
death,1.0,0.16279069767441862,0.28,129.0
other_aid,1.0,0.00906344410876133,0.017964071856287425,331.0
infrastructure_related,0.0,0.0,0.0,190.0
transport,1.0,0.04964539007092199,0.0945945945945946,141.0
buildings,1.0,0.041379310344827586,0.07947019867549668,145.0
electricity,1.0,0.05970149253731343,0.11267605633802817,67.0
tools,0.0,0.0,0.0,21.0
hospitals,0.0,0.0,0.0,38.0
shops,0.0,0.0,0.0,14.0
aid_centers,0.0,0.0,0.0,33.0
other_infrastructure,0.0,0.0,0.0,136.0
weather_related,0.9052863436123348,0.5436507936507936,0.6793388429752066,756.0
floods,0.9387755102040817,0.1885245901639344,0.31399317406143346,244.0
storm,0.9528301886792453,0.396078431372549,0.5595567867036011,255.0
fire,1.0,0.05128205128205128,0.09756097560975609,39.0
earthquake,0.9739583333333334,0.68,0.8008565310492506,275.0
cold,1.0,0.11267605633802817,0.20253164556962025,71.0
other_weather,0.75,0.019230769230769232,0.0375,156.0
direct_report,0.8888888888888888,0.31211498973305957,0.4620060790273557,487.0
not_related,0.768,0.1605351170568562,0.26556016597510373,598.0
micro avg,0.8434362934362934,0.46912917427252226,0.6029117505002415,9313.0
macro avg,0.692424201586697,0.18310222722490113,0.23879891492731348,9313.0
weighted avg,0.8290166781670298,0.46912917427252226,0.5185369457753803,9313.0
samples avg,0.7622984042101689,0.5054003416021873,0.5631280026373474,9313.0
